second,Volt
-8.62E-04,7.24E-01
-8.59E-04,7.24E-01
-8.56E-04,7.64E-01
-8.54E-04,7.64E-01
-8.51E-04,7.64E-01
-8.49E-04,7.64E-01
-8.46E-04,7.64E-01
-8.44E-04,8.04E-01
-8.41E-04,8.04E-01
-8.39E-04,8.04E-01
-8.36E-04,8.44E-01
-8.33E-04,8.44E-01
-8.31E-04,8.44E-01
-8.28E-04,8.44E-01
-8.26E-04,8.44E-01
-8.23E-04,8.44E-01
-8.21E-04,8.84E-01
-8.18E-04,8.84E-01
-8.16E-04,8.84E-01
-8.13E-04,8.84E-01
-8.10E-04,8.84E-01
-8.08E-04,8.84E-01
-8.05E-04,8.84E-01
-8.03E-04,9.25E-01
-8.00E-04,9.25E-01
-7.98E-04,9.25E-01
-7.95E-04,9.25E-01
-7.92E-04,9.25E-01
-7.90E-04,9.25E-01
-7.87E-04,9.25E-01
-7.85E-04,9.65E-01
-7.82E-04,9.25E-01
-7.80E-04,9.25E-01
-7.77E-04,9.65E-01
-7.75E-04,9.65E-01
-7.72E-04,9.65E-01
-7.69E-04,9.65E-01
-7.67E-04,9.65E-01
-7.64E-04,9.65E-01
-7.62E-04,9.65E-01
-7.59E-04,9.65E-01
-7.57E-04,9.65E-01
-7.54E-04,9.65E-01
-7.52E-04,9.65E-01
-7.49E-04,9.65E-01
-7.46E-04,9.65E-01
-7.44E-04,9.65E-01
-7.41E-04,9.65E-01
-7.39E-04,9.65E-01
-7.36E-04,9.65E-01
-7.34E-04,9.65E-01
-7.31E-04,9.65E-01
-7.28E-04,9.65E-01
-7.26E-04,9.65E-01
-7.23E-04,9.65E-01
-7.21E-04,9.65E-01
-7.18E-04,9.65E-01
-7.16E-04,9.25E-01
-7.13E-04,9.25E-01
-7.11E-04,9.25E-01
-7.08E-04,9.25E-01
-7.05E-04,9.25E-01
-7.03E-04,8.84E-01
-7.00E-04,9.25E-01
-6.98E-04,8.84E-01
-6.95E-04,9.25E-01
-6.93E-04,9.25E-01
-6.90E-04,8.84E-01
-6.88E-04,8.84E-01
-6.85E-04,8.84E-01
-6.82E-04,8.84E-01
-6.80E-04,8.44E-01
-6.77E-04,8.84E-01
-6.75E-04,8.44E-01
-6.72E-04,8.44E-01
